repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
GNOEYHEAT/FSI-AIxData_2024,GNOEYHEAT,User,ct|md|st,2,1,1,9,1,GNOEYHEAT,0,,,0,0,71379,Python,,2024-09-08,2024-11-13,False,False,False,,,"FSI AIxData Challenge 2024, 금융보안원 (2024.08.05 ~ 2024.08.30)",ok,2026-08-14,,,,,,,,,,,
Gaojingtong/SampleLLM,Gaojingtong,User,ev|md,2,1,0,15,1,Gaojingtong,0,,,0,0,22,Python,,2025-05-28,2025-05-28,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
GiampaoloConti/Fuel-Card-Fraud-Detection-System,GiampaoloConti,User,hma|md|mt,2,0,1,14,1,GiampaoloConti,0,,,0,0,13273,HTML,,2025-03-28,2025-03-28,False,False,False,,,"Designed and implemented the database, expanded fraud simulation datasets, and trained a binary classification model to detect anomalous fuel card usage for fleet management.",ok,2026-08-14,,,,,,,,,,,
Gubbeklubben/FENRIS,Gubbeklubben,Organization,ct,2,0,0,601,5,aopedal|trondthorsteinsson|kerem9811|bardlinga|Loenning,0,fenris,,14,118,1300,Python,NOASSERTION,2026-01-21,2026-08-10,False,False,False,,data-generators|extensible|federated-learning|python|research-tool|synthetic-data|tabular-data,FENRIS - Federated Extensible Norwegian Research Interface for Synthetic data. Fenris is an extensible benchmarking framework for federated synthetic tabular data generators.,ok,2026-08-14,,,,,,,,,,,
HeetPatel8126/SyntheticDataGen,HeetPatel8126,User,gc|md|req|st,2,0,0,15,2,HeetPatel8126|RudraJad2005,0,,,0,0,6802,TypeScript,MIT,2026-01-22,2026-07-08,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ITMO-NSS-team/tabular-synth-calibration,ITMO-NSS-team,Organization,ct|gc|md|req|st,2,0,0,18,1,GennadiiFilatov,0,,,0,0,17851,Python,,2026-02-24,2026-06-19,False,False,False,,,Loss-based calibration of synthetic tabular data to reliably preserve model rankings for selection across classification and regression tasks.,ok,2026-08-14,,,,,,,,,,,
JimmyJamJr/spoc2025,JimmyJamJr,User,ct|md|req|st,2,0,2,271,14,JimmyJamJr|SeanR104|treppenwit|JacobHouch|owenasmith,0,,,0,0,46470,Jupyter Notebook,,2025-01-13,2025-05-01,False,False,False,,,TDM SpOC 2025 - ML-based launch feasibility prediction project,ok,2026-08-14,,,,,,,,,,,
JoseLlanes/TabularDataGAN,JoseLlanes,User,ct|ev|gc|md|req|st,2,0,1,35,4,Llanes Jurado|Jose|JoseLlanes|JoseLlanes,0,,,0,0,5140,Jupyter Notebook,,2025-03-05,2025-10-13,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
KKrusselmann/SENSYN,KKrusselmann,User,ev|gc|md|st,2,0,1,41,1,Katharina Krusselmann,0,,,0,0,146253,TeX,,2024-08-23,2024-11-19,False,False,False,https://dutchhomicide.streamlit.app,open-science|synthetic-data|synthetic-dataset-generation,"This repository contains all outputs of Project SENSYN. Project SENSYN aims to make synthetic data usage accessible to a broader audience, by a guidebook on synthetic data, a web application and a proof-of-concept of synthetic homicide data.",ok,2026-08-14,,,,,,,,,,,
Kishankumar1328/Synthetic-Dataset-Generator,Kishankumar1328,User,ct|gc|md|req|st,2,0,0,4,2,Kishankumar1328|superman32432432,0,,,0,0,58,JavaScript,GPL-3.0,2025-12-02,2025-12-31,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Kris-Nale314/Dynamic-KG,Kris-Nale314,User,req,2,0,1,7,1,Kris-Nale314,0,,,0,0,3466,Python,MIT,2025-04-23,2025-04-26,False,False,False,,,"Exploring the use of dynamic knowledge graphs that integrate diverse data, model complex relationships, represent context through digital twins, and drive explainable actions and recommendations.",ok,2026-08-14,,,,,,,,,,,
KwangSun-Ryu/Sally,KwangSun-Ryu,User,ct|md|req,2,3,1,30,2,khyj0302|KwangSun-Ryu,0,,,0,8,275951,Python,,2024-03-12,2024-06-13,False,False,False,,,"Artificial Intelligence, Synthetic Data",ok,2026-08-14,,,,,,,,,,,
Kyoshido/useR2024-Data-Anonymisation-for-Open-Science,Kyoshido,User,ct,2,4,2,73,2,Kyoshido|qwertzlbry,0,,,0,0,40229,HTML,,2024-04-12,2024-07-16,False,False,False,,,Repository for useR!2024 tutorial Data Anonymisation for Open Science,ok,2026-08-14,,,,,,,,,,,
LahiruRajapaksha/cardiac-arrest-prediction-using-bed-head-tickets,LahiruRajapaksha,User,md|par|sq,2,0,1,24,2,LahiruRajapaksha|Lahiru,0,,,0,7,5215,Jupyter Notebook,CC0-1.0,2023-03-30,2023-09-30,False,False,False,,,Developing cardiac arrest prediction model using  machine learning,ok,2026-08-14,,,,,,,,,,,
Make111GreatAgain/RappaExecutor,Make111GreatAgain,Organization,rdt|req,2,0,2,103,3,ZhmYe|nekoder2002|siheyase,0,,,0,11,40088,Python,,2024-11-15,2026-08-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Manuel-Materazzo/Coginets,Manuel-Materazzo,User,gc|md|req|st,2,0,1,188,1,Manuel-Materazzo,0,,,0,0,570,Python,MIT,2024-10-29,2026-03-08,False,False,False,https://coginets-example.onrender.com/docs,,"A Python framework for training, optimizing and deploying regression and classification models.",ok,2026-08-14,,,,,,,,,,,
ManuelS0usa/ppai_ctgan_tabular_data,ManuelS0usa,User,ev,2,0,1,6,1,ManuelS0usa,0,,,0,0,622,Jupyter Notebook,,2022-09-22,2022-09-22,False,False,False,,ctgan|deep-learning|machine-learning|synthetic-data,GAN-based Deep Learning data synthesizer - Modeling Tabular data using Conditional GAN,ok,2026-08-14,,,,,,,,,,,
Martinfacot/tVAE_project,Martinfacot,User,ct|ev|gc|md|rdt|sm|st,2,1,1,63,1,Martinfacot,0,,,0,0,330207,Python,,2025-03-06,2025-04-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Maxelee/CARPoolGP,Maxelee,User,req,2,1,2,49,2,Maxelee|Max Lee,0,CARPoolGP,,1,3,21544,Jupyter Notebook,CC0-1.0,2023-08-01,2025-09-23,False,False,False,,,A repository where Gaussian process regression and control variates variance reduction is combined.,ok,2026-08-14,,,,,,,,,,,
Musfiqshohan/Modular-DCM,Musfiqshohan,User,ct,2,0,1,20,1,Musfiqshohan,0,,,0,0,398351,Jupyter Notebook,,2023-06-27,2025-11-25,False,False,False,,,[ICML 2024] Modular Learning of Deep Causal Generative Models for High-dimensional Causal Inference,ok,2026-08-14,,,,,,,,,,,
PD-Graduation-Project/PD-Detection-Models,PD-Graduation-Project,Organization,ev|gc|md|st,2,0,0,243,1,youssef-omarrr,0,,,0,0,21923,Python,,2025-10-17,2026-04-06,False,False,False,,,"Multi-modal Parkinson’s Disease detection pipelines featuring models for spiral drawing, tremor, and audio-based analysis.",ok,2026-08-14,,,,,,,,,,,
PMPRR/Estrutura-de-Dados,PMPRR,User,ct|ev|md|st,2,0,1,131,3,PMPRR|fernando-nishio|rick-12q,0,,,0,0,5211,C++,,2025-05-06,2025-06-11,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Panagiotou/Offshore_Jacket_Design_Augmentation,Panagiotou,User,md|st,2,1,1,5,1,Panagiotou,0,,,0,0,1124198,Jupyter Notebook,,2024-03-11,2025-06-12,False,False,False,,,"Code for our paper titled ""Generative AI-augmented Offshore Jacket Design: Integrated Approach for Mixed Tabular Data Generation under Scarcity and Imbalance""",ok,2026-08-14,,,,,,,,,,,
Pierciest/Exoplanet_classifier,Pierciest,User,gc|md|st,2,0,1,4,1,Pierciest,0,,,0,0,4106,Jupyter Notebook,,2024-10-06,2024-10-07,False,False,False,,,This repository is to showcase the ML approach to classify exoplanets and generate synthetic data that could be used for several applications such as simulations.,ok,2026-08-14,,,,,,,,,,,
Rafo044/test,Rafo044,User,gc|md|req,2,0,0,13,1,Rafo044,0,,,0,2,55,Python,,2025-11-01,2026-05-25,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Raju-Challagundla/syndataeval,Raju-Challagundla,User,ct|md|st,2,0,1,23,1,Raju-Challagundla,0,syndataeval,,0,0,1726,Jupyter Notebook,,2025-05-16,2025-07-22,False,False,False,,,Evaluation metrics for this survey,ok,2026-08-14,,,,,,,,,,,
Rosher299/TabSAL_benchmark,Rosher299,User,ct|rdt,2,0,1,3,1,Rosher299,0,be_great,,1,1,270,Python,MIT,2024-01-23,2024-10-06,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
SDC4Society/synthetic_data_release,SDC4Society,Organization,ct|rdt,2,1,0,343,8,kiti1924|hajimeono96|tenk-9|reslbesl|Laurent Girod,0,synthetic-data-release,,6,39,20519,Python,BSD-3-Clause,2026-02-12,2026-07-03,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Sebastijan-Dominis/ml-workflow-engine,Sebastijan-Dominis,User,ct|md|req|st,2,0,0,466,1,Sebastijan-Dominis,0,hotel_management,,0,3,298162,Python,MIT,2025-11-28,2026-06-09,False,False,False,,catboost|clasification|data-science|hotel-booking|jupyter-notebook|machine-learning|python|regression|ml-pipeline|hospitality-industry,"An end-to-end ML platform that guarantees reproducibility across datasets, features, and models, with full lineage tracking and validation. Comes with pre-written configurations, artifact examples, comprehensive documentation, and a service that simplifies usage.",ok,2026-08-14,,,,,,,,,,,
SlokomManel/LLM-as-a-Discriminator,SlokomManel,User,ct|gc|md|st,2,0,0,10,2,SlokomManel|Research Bot,0,,,0,0,31478,Jupyter Notebook,MIT,2026-04-23,2026-06-01,False,False,False,,,LLM-based Privacy-Leakage Assessment for Synthetic Tabular Data,ok,2026-08-14,,,,,,,,,,,
SteffenMoritz/Synthetic_Data_Challenge,SteffenMoritz,User,ct,2,4,1,155,5,SteffenMoritz|HarryM01|geyerf|r-tent|ReiffertMichel,0,,,0,40,555511,HTML,GPL-3.0,2022-01-24,2022-02-14,False,False,False,,synthetic-data|synthetic-dataset-generation|unece|challenge|official-statistics,UNECE HLG-MOS Synthetic Data Challenge (TEAM DESTATIS),ok,2026-08-14,,,,,,,,,,,
Suerdo/synthetic-br-profiles-gan,Suerdo,User,ct,2,0,0,31,2,Suerdo|wics-anonimo,0,synthetic-br-profiles-gan,,0,1,955,Python,,2026-05-02,2026-07-30,False,False,False,,,"Projeto acadêmico para geração de dados pessoais sintéticos brasileiros com GAN tabular, LGPD e governança de dados.",ok,2026-08-14,,,,,,,,,,,
Tevien/Doppelganger,Tevien,User,ct|gc|md|st,2,1,1,61,1,Tevien,0,dpplgngr,,0,0,753,Python,MIT,2023-08-04,2026-05-07,False,False,False,,,AutomatedTwinning,ok,2026-08-14,,,,,,,,,,,
ThinamXx/synthetic-GAN,ThinamXx,User,req,2,1,0,3,1,ThinamXx,0,synthetic-gan,,0,0,34,Python,MIT,2025-05-31,2025-06-01,False,False,False,,,Reading CT-GAN for synthetic data.,ok,2026-08-14,,,,,,,,,,,
TinyPART/TDMiL-artifact,TinyPART,Organization,ct|ev|gc|md|st,2,0,2,81,3,bergzand|MakGulati|emmanuelsearch,0,,,0,0,22720,C,,2024-01-19,2024-12-13,False,False,False,,,IEEE-Access-TDMiL-artifact,ok,2026-08-14,,,,,,,,,,,
WeijieyingRen/Tabular_survey,WeijieyingRen,User,ct|rdt,2,0,1,8,2,enthlinn-1228|WeijieyingRen,0,,,0,0,45483,Python,,2024-03-11,2024-04-06,False,False,False,,,"Protocol on Tabular data prediction, generation, test time adaptation",ok,2026-08-14,,,,,,,,,,,
YashuBhat96/child-obesity-ml-guide,YashuBhat96,User,ct|md|st,2,0,1,27,1,YashuBhat96,0,,,0,0,13032,Jupyter Notebook,MIT,2025-05-23,2025-05-27,False,False,False,,,A practical machine learning tutorial for childhood obesity researchers. Companion to “A Primer for Machine Learning Applications in Childhood Obesity.”,ok,2026-08-14,,,,,,,,,,,
ZsyRock/research-reproduction,ZsyRock,User,ct,2,0,1,3,1,ZsyRock,0,,,0,0,26104,Python,MIT,2025-04-25,2025-08-08,False,False,False,,,"A personal lab for replicating and experimenting with cutting-edge research in ML, FL, DP, and synthetic data.",ok,2026-08-14,,,,,,,,,,,
afsahurrehman11/PulseForge-AI,afsahurrehman11,User,ct|ev|gc|md|st,2,0,0,2,1,afsahurrehman11,0,,,0,0,18617,Jupyter Notebook,,2025-06-21,2025-06-21,False,False,False,,,"Developed a Python-based API that produces realistic synthetic medical records with user-configurable anomaly rates; trained CTGAN, TVAE, Tabular Diffusion, and Masked Autoregressive Flow models for mixed-type data generation, plus Bayesian Network and Random Forest samplers for controlled outlier injection. (Python, PyTorch, scikit-learn)",ok,2026-08-14,,,,,,,,,,,
aindo-com/remia,aindo-com,Organization,gc|md|req|st,2,0,0,4,1,DavideScassola,0,,,0,0,1056,Python,MIT,2026-05-12,2026-05-21,False,False,False,,,"Repository for the paper ""ReMIA: a Powerful and Efficient Alternative to Membership Inference Attacks against Synthetic Data Generators"".",ok,2026-08-14,,,,,,,,,,,
akashxlr8/sdv-2,akashxlr8,User,ct|hma|md|mt|req|sm|st,2,0,1,39,1,akashxlr8,0,,,0,0,1169,Python,,2024-12-23,2024-12-29,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
aman-jaglan/Capstone_Project,aman-jaglan,User,ct|req|st,2,2,2,312,5,smitpancholi313|NemiiM|aman-jaglan|Aman Jaglan|YashDoshi29,0,,,1,90,60326,HTML,MIT,2025-01-14,2025-06-08,False,False,False,https://credge.vercel.app,,This is our capstone project repo.,ok,2026-08-14,,,,,,,,,,,
amiltner/DSInvariant,amiltner,User,par,2,0,3,257,3,SaswatPadhi|amiltner|millstein,0,,,2,0,4781,OCaml,,2018-12-11,2019-11-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
amiltner/HanoiArtifactEvaluation,amiltner,User,par,2,0,1,8,1,amiltner,0,,,0,0,1064,OCaml,MIT,2020-02-21,2020-04-21,False,False,False,,,Artifact Evaluation for Hanoi PLDI 2020,ok,2026-08-14,,,,,,,,,,,
annapecini/CTABGAN-Plus,annapecini,User,ev|req,2,0,1,3,1,annapecini,0,,,0,0,1387,Python,,2023-05-22,2023-05-31,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
bips-hb/generative_rf,bips-hb,Organization,ct,2,0,5,338,4,kristinblesch|dswatson|mnwright|jkapar,0,,,0,4,30848,R,,2021-12-03,2023-02-15,False,False,False,,,Generative Random Forests,ok,2026-08-14,,,,,,,,,,,
coksvictoria/EnsembleSynthesis,coksvictoria,User,gc|md|req|st,2,0,1,10,1,coksvictoria,0,,,0,0,50618,Python,,2024-07-29,2025-01-18,False,False,False,,,Implement of Data-Centric Ensemble Synthetic Data,ok,2026-08-14,,,,,,,,,,,
dglaird/afccp,dglaird,User,ct|md|req|st,2,0,2,314,4,dglaird|daniel.laird.4|afccp.workspace|IM105257,0,afccp,,0,3,149185,Python,,2022-03-02,2026-06-03,False,False,False,,,Air Force Cadet Career Problem,ok,2026-08-14,,,,,,,,,,,
dima1203oleg/predator-analytics,dima1203oleg,User,ct|ev|gc|md|st,2,1,0,1949,7,Predator Autonomous Agent|Дмитро Миколайович|Your Name|Predator Autonomous Agent|dima1203oleg,0,predator-analytics,,1,6,961818,C,,2025-11-29,2026-07-24,False,False,False,,,"Predator Analytics v18.4 — AI-native кібер-аналітична платформа (AI Studio → GitHub → GitHub Actions → ArgoCD → k3s). Повна автоматизація деплоїв, MAS-агенти, ETL, LLM, Nexus Core UI.",ok,2026-08-14,,,,,,,,,,,
drvshavva/EASE2025-Privacy-Preserving-Methods-for-Bug-Severity-Prediction,drvshavva,User,ct|ev|gc|md|req|st,2,1,1,6,2,Havanur DERVİŞOĞLU|drvshavva,0,,,0,0,18794,Jupyter Notebook,,2025-03-15,2025-03-17,False,False,False,,,EASE2025-Privacy-Preserving Methods for Bug Severity Prediction codes.,ok,2026-08-14,,,,,,,,,,,
eltonaguiar/findtorontoevents_antigravity.ca,eltonaguiar,User,ct|st,2,0,0,135873,49,github-actions[bot]|actions-user|Signal Engine Bot|Gainer Predictor|Regime Terminal Bot,0,,,14,660,1764493,Python,,2026-05-23,2026-08-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
fazliimam/ADNOC_NLP_QuestionAndAnswering_System,fazliimam,User,gc|md|st,2,0,1,11,4,AmrinKareem|fazliimam|AhmedMAlbreiki|Mario-16180,0,,,0,0,1404,Jupyter Notebook,MIT,2023-07-20,2023-07-31,False,False,False,,,"This project presents an innovative NLP-based Q&A system tailored for drilling reports generated during the drilling process. Leveraging state-of-the-art natural language processing techniques, the system efficiently extracts valuable insights from drilling reports, enabling users to pose specific questions and obtain accurate, contextual answers.",ok,2026-08-14,,,,,,,,,,,
gmanch94/claude-code-aidlc-template,gmanch94,User,ct|gc|md|st,2,0,0,132,1,gmanch94,0,,,0,44,1419,Python,,2026-05-05,2026-07-27,False,False,False,,,"Claude Code template for the full AI/ML/data development lifecycle — 162 advisory skills, 15 guardrail hooks, persistent memory, and session continuity out of the box.",ok,2026-08-14,,,,,,,,,,,
gulcecetinalp/YZTE_Bootcamp,gulcecetinalp,User,ct|md|req,2,0,0,30,5,furkanaltas|muhammedaydiiinn|rbalci|gulcecetinalp|duyguselinn,0,,,0,4,1826,Jupyter Notebook,,2026-06-21,2026-07-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
hms-dbmi/VarPPUD,hms-dbmi,Organization,ct|ev,2,4,2,81,2,Rayin-saber|avillach,0,,,0,0,23401,Python,Apache-2.0,2021-12-09,2024-04-24,False,False,False,,,Repository with the code developed for the manuscrip VarPPUD: predicting pathogenicity of gene-variant combinations in the undiagnosed disease patients,ok,2026-08-14,,,,,,,,,,,
hushchyn-mikhail/tabular_data_generation,hushchyn-mikhail,User,md,2,0,1,66,5,DeineBlume|elinaTED|SlovyaginaAnna|REDISKA3000|hushchyn-mikhail,0,,,0,0,1128053,Jupyter Notebook,MIT,2025-02-09,2025-06-18,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
itzTiru/tabular-data-generator-ctgan,itzTiru,User,ct|md|st,2,0,0,10,1,itzTiru,0,tabular-synthetic-data-generator-ctgan,,0,0,15025,Python,Apache-2.0,2026-02-20,2026-02-21,False,False,False,,,Privacy aware tabular synthetic data generation using CTGAN and TVAE with utility and privacy evaluation,ok,2026-08-14,,,,,,,,,,,
jakehirst/sfx_ML,jakehirst,User,ct|md,2,0,1,164,2,jakehirst|u1056287,0,,,0,3,13226,Jupyter Notebook,,2022-11-09,2024-08-28,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
jeiglsperger/Master-Thesis,jeiglsperger,User,ct|ev,2,0,1,249,1,jeiglsperger,0,,,0,0,9254,Jupyter Notebook,,2021-11-04,2022-01-26,False,False,False,,,All codes used for my master thesis,ok,2026-08-14,,,,,,,,,,,
jeswinlobo/DataSynth,jeswinlobo,User,ct|gc|md|req|st,2,0,0,3,1,jeswinlobo,0,,,0,0,124,Python,MIT,2025-08-24,2025-10-09,False,False,False,,,Smart Data Understanding and Synthetic Data Generation for Efficient AI Pipelines,ok,2026-08-14,,,,,,,,,,,
lingster/numerai,lingster,User,ct,2,0,0,21,2,lingster|Ling LI,0,,,0,1,5955,HTML,,2025-08-27,2026-05-25,False,False,False,,,A public repo of notes and interesting information about numerai,ok,2026-08-14,,,,,,,,,,,
lmannocci/TRIAGE,lmannocci,User,ct|ev|md|st,2,0,0,1,1,lmannocci,0,,,0,0,185,Python,,2026-05-29,2026-05-29,False,False,False,,,"Modular, abstention-aware framework combining feature‑based explainers and retrieval‑augmented LLMs to produce safe, traceable, human‑readable explanations for clinical decision support.",ok,2026-08-14,,,,,,,,,,,
manjunath-mahendra/NextConvGeN,manjunath-mahendra,User,ct|md,2,0,1,91,1,manjunath-mahendra,0,,,0,0,156004,Jupyter Notebook,,2024-06-24,2025-09-29,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
math-a3k/docs_gh_pages_test,math-a3k,User,ct|ev|md|req|sm,2,3,1,2641,41,arita37|AlexAdvent|Maunish-dave|tdchung|ashokgaire,0,xpdtools,,0,1,25804,Python,,2022-03-17,2022-10-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
mshubhankar/DP-DataGeneration-MissingData,mshubhankar,User,ct|gym|rdt,2,1,2,11,1,mshubhankar,0,,,0,0,97780,Python,,2023-04-15,2024-02-15,False,False,False,,,"Codebase and full paper for paper ""Differentially Private Data Generation with Missing Data""",ok,2026-08-14,,,,,,,,,,,
nscharrenberg/TabuGAN,nscharrenberg,User,ct|md|rdt|req,2,0,3,79,4,nscharrenberg|adishourya|jonathonbird|tauseef-a,0,,,1,37,379543,Jupyter Notebook,Apache-2.0,2024-03-06,2024-06-26,False,False,False,,,"A Tabular GAN with Attention Mechanisms, Reinforcement Learning, Knowledge Graphs and Clustering",ok,2026-08-14,,,,,,,,,,,
oskargirardin/CRP_GDPR_datasets,oskargirardin,User,ct|ev|gc|md|par|req|st,2,0,1,247,6,oskargirardin|lucreziacerto|motmans-pj|Jeanne11on|marinaplt,0,,,0,38,42428,Jupyter Notebook,,2023-01-27,2023-06-21,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
pumazzo/ML-ISS2025,pumazzo,User,ct|md|st,2,0,0,25,1,pumazzo,0,,,0,0,31852,Jupyter Notebook,CC0-1.0,2025-11-11,2025-12-11,False,False,False,,,"Materiale per il corso ""Introduzione al Machine Learning per le Scienze della Salute"" 2025 @ISS",ok,2026-08-14,,,,,,,,,,,
pwscup/pwscup2026-mock,pwscup,Organization,gc,2,1,0,4,1,hajimeono96,0,pwscup2026-wg3-dist,,0,0,1103,Jupyter Notebook,,2026-06-23,2026-06-27,False,False,False,,,Minimum mock for PWS Cup 2026,ok,2026-08-14,,,,,,,,,,,
shlomihod/surrogate-public-data,shlomihod,User,md,2,0,1,4,1,shlomihod,0,,,0,0,109745,Jupyter Notebook,,2025-05-15,2025-10-22,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
sonhun99/ED_Urgency,sonhun99,User,ct|gc|md|st,2,1,1,6,1,sonhun99,0,,,0,0,18,Python,,2023-06-24,2023-09-21,False,False,False,,,Python code for predicting mortality of patients in Emergency Departments,ok,2026-08-14,,,,,,,,,,,
steveng9/SyntheticData_MIA,steveng9,User,ct,2,1,1,58,2,steveng9|Ubuntu,0,,,1,0,1896,Python,MIT,2024-01-27,2025-03-02,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
sushaan-k/healthpipe,sushaan-k,User,ct|md|st,2,0,0,20,1,sushaan-k,0,healthpipe,,0,1,308,Python,MIT,2026-03-30,2026-06-03,False,False,False,,healthcare|hipaa|privacy|python|synthetic-data,Privacy-preserving clinical data pipeline with de-identification and synthetic data,ok,2026-08-14,,,,,,,,,,,
symbol-management/api-match-audit,symbol-management,Organization,ct,2,2,0,3527,2,circleci|CJ-Wright,0,,,0,0,306786,Roff,,2021-02-13,2023-10-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
tavlab-iiitd/MicroGAN,tavlab-iiitd,User,ct,2,1,2,9,3,DaasDaham|enwrap|tavlab-iiitd,0,,,0,0,337,Jupyter Notebook,GPL-3.0,2021-04-07,2022-01-14,False,False,False,,,tavlab@iiitd.ac.in,ok,2026-08-14,,,,,,,,,,,
tmcarvalho/AUTOPRIV,tmcarvalho,User,ct|md|st,2,0,0,280,1,tmcarvalho,0,,,0,0,52517,Python,,2023-10-03,2024-12-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ucekmez/phd,ucekmez,User,ct,2,0,1,6,1,ucekmez,0,,,0,0,40157,Jupyter Notebook,,2020-05-20,2021-03-04,False,False,False,,,PhD study source code,ok,2026-08-14,,,,,,,,,,,
vaydr/UniformGAN,vaydr,User,ct,2,0,1,3,1,vaydr,0,,,0,0,662,Python,MIT,2022-06-29,2022-06-29,False,False,False,,,clone of synthetic-data-generation,ok,2026-08-14,,,,,,,,,,,
weathon/split_review,weathon,User,par,2,0,0,71,1,weathon,0,,,0,1,3615409,HTML,,2026-04-28,2026-06-11,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
wpengda/SyntheticData_OrganizationalScience,wpengda,User,ct|ev|md|st,2,1,1,10,1,wpengda,0,,,0,0,322,HTML,,2024-07-03,2024-11-07,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
y-babdalla/tacrolimus_predictions,y-babdalla,User,ct|gc|md|req,2,0,1,6,2,y-babdalla|youssefbadr,0,,,0,0,89,Python,Apache-2.0,2024-12-21,2025-02-23,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
yionna/DSA3101-Object-Not-Found,yionna,User,ct|md|req|st,2,1,1,356,9,livia-ann|annccyn|Mingyuan Zhang|Kayannn123|zyX-223,0,,,0,0,177514,Jupyter Notebook,,2024-09-08,2024-11-15,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
yoid2000/commute-health-study,yoid2000,User,ct|md|st,2,0,3,51,3,yoid2000|karen-otte|prasser,0,,,1,4,67282,TeX,,2024-05-08,2025-08-08,False,False,False,,,Everything to do with testing code with Bojan,ok,2026-08-14,,,,,,,,,,,
yutarohtanaka/ag-cgan,yutarohtanaka,User,ct,2,0,1,27,1,yutarohtanaka,0,,,0,0,535,Jupyter Notebook,MIT,2022-04-05,2022-06-13,False,False,False,,,Conditional GAN for Artificial Genome,ok,2026-08-14,,,,,,,,,,,
zhao-zilong/Fed-TGAN,zhao-zilong,User,ct,2,0,1,4,1,zhao-zilong,0,,,2,0,1622,Python,,2022-05-03,2025-04-29,False,False,False,,,"Official git for papers ""Fed-TGAN: Federated Learning Framework for Synthesizing Tabular Data"" and ""GDTS: GAN-based distributed tabular synthesizer""",ok,2026-08-14,,,,,,,,,,,
AI4Banking/BankGAN-CANAI2024,AI4Banking,User,rdt,1,0,1,12,1,AI4Banking,0,,,0,0,2361,Jupyter Notebook,,2024-04-19,2024-04-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Abdulraqib20/AI-Powered-Customer-Support-Agent,Abdulraqib20,User,req,1,0,1,116,1,Abdulraqib20,0,,,0,1,1838,Python,,2025-03-23,2025-09-11,False,False,False,https://ai-customer-agent-541684426301.us-central1.run.app/,,"This application is a Nigerian-based e-commerce customer support agent designed to deliver context-aware, intelligent assistance while keeping track of every conversation along the way.",ok,2026-08-14,,,,,,,,,,,
AccuInsight/accutuning_helpers,AccuInsight,User,ct,1,2,6,294,13,yspaik|kseh92|happytk|hyeonho1028|sjin4you,0,accutuning_helpers,,0,41,231,Python,,2020-09-21,2024-02-22,False,False,False,,,"Accu.Tuning preprocessors, utils for public",ok,2026-08-14,,,,,,,,,,,
AlgoMathITMO/RNF30029,AlgoMathITMO,Organization,ct|md|rdt|st,1,0,1,24,3,Mpkosh|Anthony-Cov|Sandrro,0,,,0,1,35123,Jupyter Notebook,,2023-12-14,2024-01-11,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
AndersonMatt-ing/TPI-voz-SyS,AndersonMatt-ing,User,ev|gc|md|st,1,0,0,23,3,AndersonMatt-ing|EmaLascurain|NorbertoCabrera,0,,,0,0,859,Jupyter Notebook,,2026-05-25,2026-06-09,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
AryanSaeedi/MasterThesis,AryanSaeedi,User,ct|md|st,1,0,1,12,1,AryanSaeedi,0,,,0,0,33,Jupyter Notebook,,2023-12-18,2024-08-28,False,False,False,,,Topic: Analysis of Synthetical Data Generation Techniques for the Evaluation of Network-based Intrusion Detection Systems,ok,2026-08-14,,,,,,,,,,,
